DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01009789,Crookston North - 02,1001,1029,1068,782,60,514,867,562,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5DH
S01009790,Crookston North - 03,1996,1947,1968,1880,4,5842,612,406,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5LH
S01009791,Crookston North - 04,702,642,814,603,30,1601,789,536,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5BD
S01009792,Pollok South and West - 01,5240,4593,5205,4801,11,4902,986,720,0.22,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7ZT
S01009793,Pollok South and West - 02,5259,4542,4902,4026,11,5473,1342,867,0.17,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7AT
S01009794,Pollok South and West - 03,6257,5916,6044,5421,7,4466,522,365,0.13,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7TA
S01009795,Pollok South and West - 04,6078,5567,5136,5811,5,6007,865,603,0.22,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7FT
S01009796,Pollok South and West - 05,4533,4381,4995.5,3892,NA,6614.5,744,460,0.15,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7NW
S01009797,Pollok South and West - 06,4645,4465,4658,4082,27,1847,782,550,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7DS
S01009798,Pollok South and West - 07,6023,5753,6146,5362,8,4837,696,501,0.13,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7FG
S01009799,Pollok North and East - 01,172,125,310,74,62,324,742,500,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5TS
S01009800,Pollok North and East - 02,1134,1079,1227,658,21,3248,1002,668,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5UY
S01009801,Pollok North and East - 03,571,420,700,904,41,1095,859,536,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5PF
S01009802,Pollok North and East - 04,1177,1097,1080,1006,33,1986,1008,717,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5YE
S01009803,Pollok North and East - 05,505,276,664,399,20,2508,745,437,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5SD
S01009804,Pollok North and East - 06,1703,3225,761,1893,39,449,526,395,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7TU
S01009805,Pollok North and East - 07,715,558,908,954,43,1178,939,594,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7SH
S01009806,Cardonald South and East - 01,895,620,1123,725,102,135,869,443,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3BP
S01009807,Cardonald South and East - 02,2681,2243,3001,2527,11,4870,970,633,0.10,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3DT
S01009808,Cardonald South and East - 03,2175,2339,2642,1813,7,4741,584,386,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3AP
S01009809,Cardonald South and East - 04,1880,2021,1767,1527,29,1377,692,455,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3AU
S01009810,Cardonald North - 01,643,514,538,729,26,2282,886,591,0.04,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2HW
S01009811,Cardonald North - 02,819,731.5,856,614,31,2288,1058,689,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2BL
S01009812,Cardonald North - 03,1290,1125,1232,709,25,1862,728,449,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2HX
S01009813,Cardonald North - 04,271,31,481,837,52,761,915,534,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2LR
S01009814,Cardonald North - 05,3099,2840,3000,2064,21,2626,814,534,0.12,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2SY
S01009815,Cardonald West and Central - 01,1634,1803,1008,1289,26,1469,642,438,0.11,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3HP
S01009816,Cardonald West and Central - 02,3517,2913,3823,3060,8,4912,721,488,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3HE
S01009817,Cardonald West and Central - 03,1638,1442,1270,1797,17,2748,683,429,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3NP
S01009818,Cardonald West and Central - 04,4939,3735,4425,4511,7,5592,910,503,0.15,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2PS
S01009819,Cardonald West and Central - 05,2374,1970,2668,1430,23,1993,704,388,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3JG
S01009820,Cardonald West and Central - 06,2586,2677,1967,2361,44,1166,958,650,0.12,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3PF
S01009821,Cardonald West and Central - 07,3670,3315,3636,3433,19,2229,635,412,0.10,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2TD
S01009822,Penilee - 01,2385,1880,2513,2357,10,3147,461,295,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 4BT
S01009823,Penilee - 02,786,772,877,800,28,1545,717,432,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 4DB
S01009824,Penilee - 03,1571,1200,1942,1595,9,5190,939,581,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 4EQ
S01009825,Penilee - 04,1028,1204,954,713,35,1878,1026,689,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 4HY
S01009826,Penilee - 05,964,624,1157.5,1278,14,2945,602,358,0.04,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2RW
S01009827,Penilee - 06,867,1073,935,739,21,2756,845,528,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 4AT
S01009828,Penilee - 07,140,92,73,133,17,2930,725,439,0.13,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2PU
S01009829,Hillington - 01,1006,1444,560,654,26,2355,906,619,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2JU
S01009830,Hillington - 02,1856,1465,2205,2249,15,3443,764,499,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2NU
S01009831,Hillington - 03,3530,3276,4500,2761,9,4780,763,533,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2BA
S01009832,Hillington - 04,3021,2537,3099,2666,36,1647,967,601,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 2AZ
S01009833,Drumoyne and Shieldhall - 01,1626,2689,2193,1339,216,9,525,336,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4HF
S01009834,Drumoyne and Shieldhall - 02,1096,1210,932,840,31,1546,794,564,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4HL
S01009835,Drumoyne and Shieldhall - 03,637,842,672,358,19,2042,592,396,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4DL
S01009836,Drumoyne and Shieldhall - 04,2430,3137,2470,1295,20,3170,931,616,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4HQ
S01009837,Drumoyne and Shieldhall - 05,663,700,669,142,13,3485,671,416,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4LJ
S01009838,Drumoyne and Shieldhall - 06,973,941,720,666,38,1416,919,610,0.15,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4QG
S01009839,Drumoyne and Shieldhall - 07,489,785,395,349,64,530,937,703,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4AB
S01009840,Drumoyne and Shieldhall - 08,890,736,755,452,22,2819,903,562,0.10,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3XR
S01009841,Govan and Linthouse - 01,1115,1248,776,810,36,1508,905,619,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3SJ
S01009842,Govan and Linthouse - 02,348,609,277,194,71,263,777,556,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3SU
S01009843,Govan and Linthouse - 03,58,105,80,31,115,70,740,515,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3NW
S01009844,Govan and Linthouse - 04,135,333,166,76,110,127,915,657,0.01,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3BL
S01009845,Govan and Linthouse - 05,870,1640,635,1259,76,350,932,704,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3AN
S01009846,Govan and Linthouse - 06,742,702,634,562,52,925,1004,682,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 3PD
S01009847,Govan and Linthouse - 07,1009,1747,741,674,46,703,779,574,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4PL
S01009848,Craigton - 01,688,659,855,357,48,1122,1019,649,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G51 4UW
S01009849,Craigton - 02,1180,823,1387.5,857,29,1489,724,471,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1DN
S01009850,Craigton - 03,2020,1653,1840,1568,12,4432,885,591,0.11,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1SN
S01009851,Craigton - 04,783,730,556,625,37,1374,882,583,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 3QN
S01009852,Mosspark - 01,1965,2303,2415,1309,45,336,545,354,0.15,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1HG
S01009853,Mosspark - 02,1907,2253,2145,1472,20,2829,826,526,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1QJ
S01009854,Mosspark - 03,1424,1683,1175,1068,25,2136,806,543,0.08,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1RH
S01009855,Mosspark - 04,2472,3348,2334,2163,10,3873,594,398,0.04,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1NS
S01009856,Mosspark - 05,2788,2425,2543,2744,11,3827,642,431,0.10,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1ER
S01009857,Mosspark - 06,2594,2664,2659,2248,18,3380,898,574,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1JQ
S01009858,Mosspark - 07,2841,2873,2985,1939,16,3272,770,532,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G52 1PX
S01009859,Ibrox - 01,196,250,173,160,116,253,1244,816,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 2DB
S01009860,Ibrox - 02,77,82,84,62,89,279,1015,654,0.08,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 3UU
S01009861,Ibrox - 03,456,935,543,415,90,490,1266,917,0.01,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 2JE
S01009862,Ibrox East and Cessnock - 01,480,896,443,204,122,170,1126,829,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 2XX
S01009863,Ibrox East and Cessnock - 02,1313,1925,973,1151,55,555,821,611,0.11,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1PY
S01009864,Ibrox East and Cessnock - 03,1793,1830,2032,1704,37,808,669,527,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 2AF
S01009865,Ibrox East and Cessnock - 04,3222,3811.5,2503,2604,16,2660,626,481,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 2TX
S01009866,Kinning Park and Festival Park - 01,2235,2116,2447,2099,41,1173,894,641,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1LL
S01009867,Kinning Park and Festival Park - 02,2504,3204,2779,1324,52,1372,1239,1003,0.10,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1TG
S01009868,Kinning Park and Festival Park - 03,4294,3796,4800,3556,21,2701,832,629,0.05,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 1DU
S01009869,Kinning Park and Festival Park - 04,3288,3528.5,3104,3788,26,1231,579,466,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1NW
S01009870,Kinning Park and Festival Park - 05,2587,2917,3312,2579,31,1259,701,524,0.05,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1AT
S01009871,Kingston West and Dumbreck - 01,1067,1114,808,868,41,1302,947,643,0.14,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5SE
S01009872,Kingston West and Dumbreck - 02,2706,2531,3053,2924,39,764,687,503,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1PW
S01009873,Kingston West and Dumbreck - 03,2775,2620,2958,2279,52,939,1008,703,0.19,S12000049,Glasgow City,S16000122,Glasgow Southside,G51 1RP
S01009874,Kingston West and Dumbreck - 04,1164,1130,844,2160,60,724,1029,673,0.12,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5LX
S01009875,Pollokshields West - 01,1228,1040,1205,1186,41,1060,842,561,0.15,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 1PF
S01009876,Pollokshields West - 02,843,472,780,2044,21,882,393,273,0.08,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5SB
S01009877,Pollokshields West - 03,5575,4646,4467,5553,14,4283,977,624,0.32,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5EY
S01009878,Pollokshields West - 04,2036,1262,2722,2596,27,1785,763,526,0.14,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 1TE
S01009879,Pollokshields West - 05,6365,5895,6730,6414,17,3535,893,588,0.22,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4NY
S01009880,Pollokshields West - 06,3710,2881,4357,3783,18,2990,792,503,0.20,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5PN
S01009881,Pollokshields East - 01,2589,2840,3490,3210,23,1382,550,401,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2NJ
S01009882,Pollokshields East - 02,3752,4128,4343,4985,53,1409,1279,1050,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2PL
S01009883,Pollokshields East - 03,3478,3388,4141,3737,28,1839,809,553,0.16,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2SU
S01009884,Pollokshields East - 04,2191,1636,2858,3175,33,1332,773,558,0.11,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2JG
S01009885,Pollokshields East - 05,3481,2876,4121,3182,23,2537,866,587,0.12,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 5RD
S01009886,Pollokshields East - 06,1973,997.5,2506,2274,24,2151,779,511,0.15,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2JT
S01009887,Govanhill West - 01,552,538,859,959,94,197,928,623,0.03,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 7RE
S01009888,Govanhill West - 02,1146,895,2708,3462,44,748,769,470,0.09,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8EH
S01009889,Govanhill West - 03,985,629,1276,1713,73,377,920,635,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8HL
S01009890,Govanhill West - 04,1151,1233,947,1649,36,717,616,394,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 7QA
S01009891,Govanhill West - 05,2103,1996.5,2112,2244,45,800,810,557,0.12,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8YN
S01009892,Govanhill West - 06,582,735,402,429,43,840,789,598,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 7PY
S01009893,Govanhill West - 07,1807,2424,2118,2391,67,397,864,597,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8ND
S01009894,Govanhill East and Aikenhead - 01,504,454,392,770,36,1396,864,583,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8ST
S01009895,Govanhill East and Aikenhead - 02,277,480,281,347,43,768,761,524,0.04,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8SP
S01009896,Govanhill East and Aikenhead - 03,567,536,495,556,38,2001,1167,716,0.04,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 7HJ
S01009897,Govanhill East and Aikenhead - 04,2132,1982,2276,1826,42,1284,962,653,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8TB
S01009898,Govanhill East and Aikenhead - 05,679,548.5,930,310,29,1343,682,426,0.10,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 7NX
S01009899,Battlefield - 01,3116,3503,2426,2753,19,2956,821,642,0.09,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9TL
S01009900,Battlefield - 02,5410,4887,5073,5048,12,4293,842,695,0.04,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9RH
S01009901,Battlefield - 03,5978,5572,5522,5446,28,2088,886,735,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9JP
S01009902,Battlefield - 04,1573,1305,1242,1116,26,2196,859,512,0.11,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8UN
S01009903,Battlefield - 05,2951,2683,2970,2302,38,1211,839,611,0.18,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8DD
S01009904,Battlefield - 06,3951,3493,4329,2876,61,462,835,635,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9QB
S01009905,Strathbungo - 01,1851,2040,2920,3155,79,176,746,554,0.08,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8EE
S01009906,Strathbungo - 02,2603,3141,3754,3935,54,419,708,546,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8NB
S01009907,Strathbungo - 03,1332,1935,1122,1745,46,662,754,609,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8NP
S01009908,Strathbungo - 04,4592,4422,4119,4821,48,1153,1037,804,0.11,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2PX
S01009909,Strathbungo - 05,3525,4300.5,2760,3816,54,754,947,801,0.06,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8QY
S01009910,Strathbungo - 06,4539,5202,4615.5,4746,32,704,542,443,0.10,S12000049,Glasgow City,S16000122,Glasgow Southside,G42 8BH
S01009911,Strathbungo - 07,5423,4491,5452,3764,24,2866,1004,623,0.20,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2DF
S01009912,Maxwell Park - 01,4470,3628.5,5092,3215,40,1193,877,537,0.23,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4PR
S01009913,Maxwell Park - 02,5088,5547,6217,5187,31,1269,704,467,0.20,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4AP
S01009914,Maxwell Park - 03,5355,4865.5,5659,6139,18,3607,969,608,0.21,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4RB
S01009915,Maxwell Park - 04,5420,4728,5500,5363,30,1834,866,604,0.28,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4LA
S01009916,Maxwell Park - 05,4583,4047,4298,4586,12,4733,996,641,0.19,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 4DB
S01009917,Maxwell Park - 06,6738,5982.5,6405,5855,10,4388,725,510,0.24,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3RY
S01009918,Maxwell Park - 07,6172,5153.5,5002,5639,9,4543,691,453,0.30,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3SZ
S01009919,Shawlands West - 01,2633,2561,2789,3010,68,635,1095,742,0.13,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3TY
S01009920,Shawlands West - 02,5694,5438,5447,5067,17,3556,900,764,0.07,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3XJ
S01009921,Shawlands West - 03,4266,5098,4031,4087,24,1521,608,520,0.08,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 2EX
S01009922,Shawlands West - 04,6060,5635,5375,5698,18,4051,1146,939,0.16,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3PP
S01009923,Shawlands East - 01,4619,4176,4199,3664,17,3561,902,689,0.15,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3BA
S01009924,Shawlands East - 02,3601,3434,3073,3748,36,1931,1077,851,0.09,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3YF
S01009925,Shawlands East - 03,5187,5141,4599,4356,23,2077,725,638,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3AL
S01009926,Shawlands East - 04,4855,4068,4954,4669,19,2856,792,594,0.19,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3JX
S01009927,Langside - 01,3416,2989,2979,3228,13,3028,579,390,0.09,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3ED
S01009928,Langside - 02,6445,6029,5955,5629,6,5871,933,683,0.23,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3AU
S01009929,Langside - 03,5860,4647,6071,4619,6,5003,570,347,0.29,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9NA
S01009930,Langside - 04,4891,4153,4346,4783,22,2595,844,690,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9SX
S01009931,Langside - 05,6715,6253,6140.5,6555,15,3812,867,759,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3EU
S01009932,Langside - 06,4912,4051,4193,3885,13,3791,745,592,0.15,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G41 3JW
S01009933,Pollokshaws - 01,889,872,457,939,44,1116,932,690,0.05,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1SW
S01009934,Pollokshaws - 02,5150,4494,4456,5243,32,1830,923,634,0.11,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2AT
S01009935,Pollokshaws - 03,112,137,74,94,36,1028,732,477,0.01,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1QD
S01009936,Pollokshaws - 04,844,967,404,507,24,1488,599,444,0.08,S12000049,Glasgow City,S16000122,Glasgow Southside,G41 3RL
S01009937,Pollokshaws - 05,1925,1888,2882,2852,45,214,455,280,0.01,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1NZ
S01009938,Pollokshaws - 06,575,531,377,496,35,1128,745,432,0.16,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1DU
S01009939,Carnwadric West - 01,90,233.5,52,792,42,487,589,434,0.01,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G46 8RJ
S01009940,Carnwadric West - 02,51,69,67.5,148,50,625,800,509,0.03,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G46 8HG
S01009941,Carnwadric West - 03,3833,2921,3905,4303,7,5769,1028,733,0.17,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G46 8JG
S01009942,Carnwadric West - 04,508,592.5,433,542,44,1131,939,632,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G46 8QZ
S01009943,Carnwadric West - 05,188,181,209,106,82,260,896,609,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G46 8ND
S01009944,Carnwadric East - 01,2029,1861,2073,1628,26,1886,765,499,0.08,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2UT
S01009945,Carnwadric East - 02,706,348.5,675,1173,35,1588,913,566,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1EH
S01009946,Carnwadric East - 03,2027,1680,2433,2155,23,2668,902,585,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1JA
S01009947,Carnwadric East - 04,2123,1817,1847,1846,6,5045,583,371,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1BY
S01009948,Newlands - 01,395,376,161,604,23,2290,786,517,0.07,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2PT
S01009949,Newlands - 02,2520,1715,2806,2200,17,3540,895,549,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2YF
S01009950,Newlands - 03,6873,6069,6250,6339,3,6301,688,431,0.29,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2SL
S01009951,Newlands - 04,6819,6365,6560,6651,13,3718,727,464,0.25,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2NU
S01009952,Newlands - 05,5613,4424,4573.5,4880,9,4585,703,417,0.20,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2YB
S01009953,Newlands - 06,5044,4022.5,4618,5669,24,2484,885,555,0.11,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2XG
S01009954,Newlands - 07,3372,2188,3847,3969,45,598,704,475,0.20,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 1DB
S01009955,Merrylee and Millbrae - 01,2978,2381,2868,2434,38,1779,1072,688,0.23,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2LZ
S01009956,Merrylee and Millbrae - 02,3007,2176,2676,3040,11,4189,735,476,0.08,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2PW
S01009957,Merrylee and Millbrae - 03,6435,6051,5972.5,6316,20,2452,727,474,0.23,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2EF
S01009958,Merrylee and Millbrae - 04,6548,6138.5,6180,5712,5,6033,885,581,0.12,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G42 9UW
S01009959,Muirend and Old Cathcart - 01,6506,5651,6166,5374,4,5916,644,393,0.24,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 3HL
S01009960,Muirend and Old Cathcart - 02,5485,3846,5078,4243,4,6214,842,481,0.14,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 3HS
S01009961,Muirend and Old Cathcart - 03,4581,4115,4130,3701,29,1373,691,440,0.12,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G43 2NQ
S01009962,Muirend and Old Cathcart - 04,4072,3533.5,3111,3495,9,5235,959,704,0.14,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 3JG
S01009963,Muirend and Old Cathcart - 05,6407,6077,4925,5097,5,5768,734,481,0.21,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 3NG
S01009964,Muirend and Old Cathcart - 06,5507,4754,4686,4635,12,4415,878,602,0.13,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 3AT
S01009965,Carmunnock North - 01,5126,4985,4035,3851,12,3983.5,744,475,0.19,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 5EU
S01009966,Carmunnock North - 02,6130,6239,4941,5047,6,5508,743,467,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 5DX
S01009967,Carmunnock North - 03,5796,4770,5366,5732,17,3069,767,476,0.17,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 5TT
S01009968,Carmunnock North - 04,4456,4170,3360,3647,9,4006,564,372,0.10,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G44 5DY
S01009969,Carmunnock South - 01,5916,5798,6178.5,5649,9,5119,905,540,0.14,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G76 9AS
S01009970,Carmunnock South - 02,320,192,356,473,29,2202,961,619,0.06,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G45 9RS
S01009971,Carmunnock South - 03,451,579,394,451,43,1477,1069,711,0.04,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G45 0QG
S01009972,Carmunnock South - 04,2002,1467,2477,2057,52,702,880,512,0.08,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G45 9SR
S01009973,Glenwood South - 01,3217,2925,3027,2906,8,4856.5,702,503,0.05,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G45 0QF
S01009974,Glenwood South - 02,297,199,365,364,22,1879,645,430,0.04,S12000049,Glasgow City,S16000116,Glasgow Cathcart,G45 9PJ
