DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01010406,Dowanhill - 04,6291,6164,5890,6049,15,3788,859,707,0.03,S12000049,Glasgow City,S16000117,Glasgow Kelvin,G12 9AU
S01010407,Dowanhill - 05,6292,5821,6423,5780,27,2262,914,788,0.14,S12000049,Glasgow City,S16000117,Glasgow Kelvin,G12 8AW
S01010408,Kelvinside and Jordanhill - 01,2882,2915.5,1543,3120,12,3133,550,358,0.25,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1XH
S01010409,Kelvinside and Jordanhill - 02,6784,6551,5683,6283,6,5268,652,387,0.34,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1UF
S01010410,Kelvinside and Jordanhill - 03,6789,6911,6262,6457,12,3206,566,379,0.22,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1TU
S01010411,Kelvinside and Jordanhill - 04,6651,6321.5,6359,6778,36,2084,1137,666,0.29,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1PX
S01010412,Kelvinside and Jordanhill - 05,5269,6263,4733,6072,60,564,900,657,0.19,S12000049,Glasgow City,S16000117,Glasgow Kelvin,G12 0UN
S01010413,Kelvinside and Jordanhill - 06,6164,6038,5796,5391,22,2469.5,804,446,0.21,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G12 0AE
S01010414,Kelvinside and Jordanhill - 07,5825,4449,5360,4974,12,4949,1104,667,0.23,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G13 1SR
S01010415,Broomhill - 01,1205,1388,709,754,52,974,1030,723,0.12,S12000049,Glasgow City,S16000117,Glasgow Kelvin,G11 7LX
S01010416,Broomhill - 02,6427,6064,6517,6006,12,3983.5,744,476,0.23,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G11 7DW
S01010417,Broomhill - 03,6919,6459,6723,6207,6,5124,605,406,0.15,S12000049,Glasgow City,S16000115,Glasgow Anniesland,G11 7HY
